ShapeNet(666, categories=['Car'])
ShapeNet(74, categories=['Car'])
<torch_geometric.loader.dataloader.DataLoader object at 0x7fb0b48f4e20>
<torch_geometric.loader.dataloader.DataLoader object at 0x7fb0b48fbee0>
[Errno 17] File exists: './recon/recon_Car_b10_pcFalse_pr0.8_sn0'
Epoch: 135, Loss: 0.03464, Test Acc: 0.03530
Epoch: 136, Loss: 0.03473, Test Acc: 0.03488
Epoch: 137, Loss: 0.03471, Test Acc: 0.03439
Epoch: 138, Loss: 0.03456, Test Acc: 0.03434
Epoch: 139, Loss: 0.03446, Test Acc: 0.03466
Epoch: 140, Loss: 0.03457, Test Acc: 0.03469
Epoch: 141, Loss: 0.03468, Test Acc: 0.03444
Epoch: 142, Loss: 0.03472, Test Acc: 0.03450
Epoch: 143, Loss: 0.03440, Test Acc: 0.03422
Epoch: 144, Loss: 0.03449, Test Acc: 0.03495
Epoch: 145, Loss: 0.03456, Test Acc: 0.03474
Epoch: 146, Loss: 0.03444, Test Acc: 0.03425
Epoch: 147, Loss: 0.03422, Test Acc: 0.03443
Epoch: 148, Loss: 0.03434, Test Acc: 0.03441
Epoch: 149, Loss: 0.03441, Test Acc: 0.03465
Epoch: 150, Loss: 0.03426, Test Acc: 0.03416
Epoch: 151, Loss: 0.03425, Test Acc: 0.03435
Epoch: 152, Loss: 0.03438, Test Acc: 0.03419
Epoch: 153, Loss: 0.03405, Test Acc: 0.03409
Epoch: 154, Loss: 0.03403, Test Acc: 0.03396
Epoch: 155, Loss: 0.03396, Test Acc: 0.03392
Epoch: 156, Loss: 0.03414, Test Acc: 0.03413
Epoch: 157, Loss: 0.03405, Test Acc: 0.03382
Epoch: 158, Loss: 0.03407, Test Acc: 0.03413
Epoch: 159, Loss: 0.03401, Test Acc: 0.03420
Epoch: 160, Loss: 0.03397, Test Acc: 0.03413
Epoch: 161, Loss: 0.03404, Test Acc: 0.03404
Epoch: 162, Loss: 0.03398, Test Acc: 0.03371
Epoch: 163, Loss: 0.03402, Test Acc: 0.03388
Epoch: 164, Loss: 0.03389, Test Acc: 0.03401
Epoch: 165, Loss: 0.03387, Test Acc: 0.03405
Epoch: 166, Loss: 0.03393, Test Acc: 0.03385
Epoch: 167, Loss: 0.03381, Test Acc: 0.03348
Epoch: 168, Loss: 0.03376, Test Acc: 0.03383
Epoch: 169, Loss: 0.03389, Test Acc: 0.03377
Epoch: 170, Loss: 0.03367, Test Acc: 0.03348
Epoch: 171, Loss: 0.03383, Test Acc: 0.03405
Epoch: 172, Loss: 0.03373, Test Acc: 0.03364
Epoch: 173, Loss: 0.03360, Test Acc: 0.03368
Epoch: 174, Loss: 0.03355, Test Acc: 0.03352
Epoch: 175, Loss: 0.03350, Test Acc: 0.03331
Epoch: 176, Loss: 0.03342, Test Acc: 0.03334
Epoch: 177, Loss: 0.03385, Test Acc: 0.03443
Epoch: 178, Loss: 0.03410, Test Acc: 0.03476
Epoch: 179, Loss: 0.03409, Test Acc: 0.03425
Epoch: 180, Loss: 0.03412, Test Acc: 0.03395
Epoch: 181, Loss: 0.03420, Test Acc: 0.03447
Epoch: 182, Loss: 0.03430, Test Acc: 0.03400
